season,daytype,k_count,Municipality,monthly_income,water_access,roof_material,wall_material,cb_size,floor_area,years_electrified,fridge_freezer,geyser,heater,hotplate,iron,kettle,microwave,3_plate,4_plate,tv,washing_machine,fridge_freezer_use,geyser_use,heater_use,hotplate_use,iron_use,kettle_use,microwave_use,3_plate_use,4_plate_use,washing_machine_use,k
summer,weekday,5,Kouga,4545.454545454545,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,22.0,20.0,1,0,0,0,1,1,0,0,1,1,0,never,never,never,never,weekly,daily,never,never,daily,never,31
summer,Friday,2,Kouga,11363.636363636364,tap inside house,IBR/Corr.Iron/Zinc,Brick,20.0,171.0,2.0,1,1,0,0,1,1,1,0,1,0,0,never,daily,never,never,weekly,daily,daily,never,daily,never,31
summer,weekday,5,Kouga,11363.636363636364,tap inside house,IBR/Corr.Iron/Zinc,Brick,20.0,171.0,2.0,1,1,0,0,1,1,1,0,1,0,0,never,daily,never,never,weekly,daily,daily,never,daily,never,31
summer,Friday,3,Kouga,2159.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,53.0,18.0,1,0,0,0,1,1,0,0,1,1,1,never,never,never,never,weekly,daily,never,never,daily,weekly,31
summer,Saturday,5,Kouga,2159.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,53.0,18.0,1,0,0,0,1,1,0,0,1,1,1,never,never,never,never,weekly,daily,never,never,daily,weekly,31
summer,weekday,5,Kouga,2159.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,53.0,18.0,1,0,0,0,1,1,0,0,1,1,1,never,never,never,never,weekly,daily,never,never,daily,weekly,31
winter,Saturday,3,Kouga,2159.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,53.0,18.0,1,0,0,0,1,1,0,0,1,1,1,never,never,never,never,weekly,daily,never,never,daily,weekly,31
summer,Friday,2,Kouga,15909.090909090908,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,42.0,18.0,1,0,0,0,1,1,1,1,0,0,1,never,never,never,never,weekly,daily,daily,daily,never,weekly,31
summer,Saturday,3,Kouga,15909.090909090908,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,42.0,18.0,1,0,0,0,1,1,1,1,0,0,1,never,never,never,never,weekly,daily,daily,daily,never,weekly,31
summer,weekday,6,Kouga,15909.090909090908,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,42.0,18.0,1,0,0,0,1,1,1,1,0,0,1,never,never,never,never,weekly,daily,daily,daily,never,weekly,31
