season,daytype,k_count,Municipality,monthly_income,water_access,roof_material,wall_material,cb_size,floor_area,years_electrified,fridge_freezer,geyser,heater,hotplate,iron,kettle,microwave,3_plate,4_plate,tv,washing_machine,fridge_freezer_use,geyser_use,heater_use,hotplate_use,iron_use,kettle_use,microwave_use,3_plate_use,4_plate_use,washing_machine_use,k
winter,Sunday,2,Mangaung,26534.090909090908,tap inside house,Tiles,Brick,20.0,61.0,14.0,1,0,1,0,1,1,1,0,1,1,1,never,never,weekly,never,weekly,daily,daily,never,daily,weekly,1
summer,Friday,3,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,Saturday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,Sunday,5,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,weekday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
winter,weekday,4,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,weekday,4,Mangaung,7954.545454545455,tap inside house,Tiles,Plaster,20.0,46.0,7.0,1,1,1,0,1,1,1,0,0,0,0,never,daily,daily,never,weekly,daily,daily,never,never,never,1
summer,Sunday,2,Mangaung,8636.363636363636,tap inside house,Tiles,Brick,20.0,104.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,2,Mangaung,8636.363636363636,tap inside house,Tiles,Brick,20.0,104.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,67.0,17.0,1,1,0,0,1,1,1,0,0,1,0,never,daily,never,never,weekly,daily,daily,never,never,never,1
summer,Sunday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,67.0,17.0,1,1,0,0,1,1,1,0,0,1,0,never,daily,never,never,weekly,daily,daily,never,never,never,1
winter,weekday,3,Mangaung,7954.545454545455,tap inside house,Tiles,Plaster,20.0,74.0,20.0,1,1,0,0,1,1,1,0,1,0,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,Sunday,5,Mangaung,0.0,tap inside house,Tiles,Concrete,20.0,53.0,4.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,2,Mangaung,0.0,tap inside house,Tiles,Concrete,20.0,53.0,4.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,4,Mangaung,0.0,tap inside house,Tiles,Concrete,20.0,53.0,4.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,3,Mangaung,20454.545454545456,tap inside house,Tiles,Brick,20.0,71.0,8.0,1,1,1,0,1,1,1,0,0,0,1,never,daily,daily,never,weekly,daily,daily,never,never,weekly,1
