season,daytype,monthly_income,water_access,wall_material,floor_area
winter,Saturday,35625.0,tap inside house,Plaster,106.0
winter,weekday,35625.0,tap inside house,Plaster,106.0
summer,Sunday,51136.36363636363,tap inside house,Plaster,44.0
summer,weekday,51136.36363636363,tap inside house,Plaster,44.0
winter,Friday,51136.36363636363,tap inside house,Plaster,44.0
winter,Saturday,51136.36363636363,tap inside house,Plaster,44.0
summer,weekday,3806.818181818182,tap inside house,Plaster,45.0
winter,Sunday,3806.818181818182,tap inside house,Plaster,45.0
summer,Saturday,3522.7272727272725,tap inside house,Concrete,36.0
summer,Sunday,3522.7272727272725,tap inside house,Concrete,36.0
summer,weekday,3522.7272727272725,tap inside house,Concrete,36.0
winter,Sunday,3522.7272727272725,tap inside house,Concrete,36.0
winter,weekday,3522.7272727272725,tap inside house,Concrete,36.0
winter,Friday,0.0,tap inside house,Brick,46.0
winter,Sunday,0.0,tap inside house,Brick,46.0
summer,Sunday,0.0,tap inside house,Brick,42.0
summer,weekday,0.0,tap inside house,Brick,42.0
winter,weekday,0.0,tap inside house,Brick,42.0
winter,Sunday,4943.181818181818,tap inside house,Brick,46.0
summer,Sunday,1534.090909090909,tap inside house,Brick,46.0
winter,Sunday,1534.090909090909,tap inside house,Brick,46.0
summer,Sunday,1704.5454545454545,tap inside house,Plaster,46.0
winter,Sunday,6477.272727272727,tap inside house,Plaster,44.0
summer,Sunday,1534.090909090909,tap inside house,Brick,44.0
summer,weekday,1534.090909090909,tap inside house,Brick,44.0
summer,Sunday,1534.090909090909,tap inside house,Brick,44.0
winter,Sunday,11363.636363636364,tap inside house,Brick,42.0
summer,Saturday,1704.5454545454545,tap inside house,Brick,60.0
winter,Saturday,1704.5454545454545,tap inside house,Brick,60.0
winter,weekday,1704.5454545454545,tap inside house,Brick,60.0
winter,Sunday,5227.272727272727,tap inside house,Brick,44.0
winter,weekday,5227.272727272727,tap inside house,Brick,44.0
winter,Saturday,0.0,tap in yard,IBR/Corr.Iron/Zinc,60.0
winter,Sunday,0.0,tap in yard,IBR/Corr.Iron/Zinc,60.0
summer,Sunday,4375.0,tap in yard,Brick,51.0
winter,Sunday,4375.0,tap in yard,Brick,51.0
summer,Sunday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
winter,Sunday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
winter,Saturday,1534.090909090909,tap in yard,Brick,91.0
winter,Sunday,1534.090909090909,tap in yard,Brick,91.0
winter,weekday,1534.090909090909,tap in yard,Brick,91.0
summer,Sunday,1534.090909090909,tap inside house,Concrete,36.0
summer,Friday,0.0,tap inside house,Concrete,63.0
summer,weekday,0.0,tap inside house,Concrete,63.0
winter,weekday,0.0,tap inside house,Concrete,63.0
winter,weekday,1534.090909090909,tap inside house,Plaster,78.0
summer,Saturday,3579.5454545454545,tap inside house,Brick,40.0
summer,weekday,3579.5454545454545,tap inside house,Brick,40.0
